Title,Year
Online Learning Rate Adaptation with Hypergradient Descent,2018
A DIRT-T Approach to Unsupervised Domain Adaptation,2018
Memory-based Parameter Adaptation,2018
Continuous Adaptation via Meta-Learning in Nonstationary and Competitive Environments,2018
Self-ensembling for visual domain adaptation,2018
Minimal-Entropy Correlation Alignment for Unsupervised Deep Domain Adaptation,2018
An image representation based convolutional network for DNA classification,2018
Implicit Causal Models for Genome-wide Association Studies,2018
Structured Evolution with Compact Architectures for Scalable Policy Optimization,2018
Rapid Adaptation with Conditionally Shifted Neurons,2018
Learning Semantic Representations for Unsupervised Domain Adaptation,2018
CyCADA: Cycle-Consistent Adversarial Domain Adaptation,2018
Conditional Adversarial Domain Adaptation,2018
L4: Practical loss-based stepsize adaptation for deep learning,2018
Adversarial Multiple Source Domain Adaptation,2018
Co-regularized Alignment for Unsupervised Domain Adaptation,2018
Generative modeling for protein structures,2018
The Global Anchor Method for Quantifying Linguistic Shifts and Domain Adaptation,2018
"Revisiting $(\epsilon, \gamma, \tau)$-similarity learning for domain adaptation",2018
Algorithms and Theory for Multiple-Source Adaptation,2018
Synthesize Policies for Transfer and Adaptation across Tasks and Environments,2018
Recurrent World Models Facilitate Policy Evolution,2018
The emergence of multiple retinal cell types through efficient coding of natural movies,2018
Improving Exploration in Evolution Strategies for Deep Reinforcement Learning via a Population of Novelty-Seeking Agents,2018
Evolution-Guided Policy Gradient in Reinforcement Learning,2018
Domain Adaptation by Using Causal Inference to Predict Invariant Conditional Distributions,2018
Efficient Projection onto the Perfect Phylogeny Model,2018
Preference Based Adaptation for Learning Objectives,2018
Diverse Ensemble Evolution: Curriculum Data-Model Marriage,2018
Adaptation to Easy Data in Prediction with Limited Advice,2018
Human-level Protein Localization with Convolutional Neural Networks,2019
Adversarial Domain Adaptation for Stable Brain-Machine Interfaces,2019
Learning Protein Structure with a Differentiable Simulator,2019
Augmented Cyclic Adversarial Learning for Low Resource Domain Adaptation,2019
Efficient Multi-Objective Neural Architecture Search via Lamarckian Evolution,2019
Improving the Generalization of Adversarial Training with Domain Adaptation,2019
Neural Graph Evolution: Automatic Robot Design,2019
Deep Online Learning Via Meta-Learning: Continual Adaptation for Model-Based RL,2019
Overcoming Catastrophic Forgetting for Continual Learning via Model Adaptation,2019
Regularized Learning for  Domain Adaptation under Label Shifts,2019
Learning protein sequence embeddings using information from structure,2019
Learning to Design RNA,2019
Unsupervised Domain Adaptation for Distance Metric Learning,2019
LEARNING FACTORIZED REPRESENTATIONS FOR OPEN-SET DOMAIN ADAPTATION,2019
On Learning Invariant Representations for Domain Adaptation,2019
Breaking Inter-Layer Co-Adaptation by Classifier Anonymization,2019
Fast Context Adaptation via Meta-Learning,2019
Transferability vs. Discriminability: Batch Spectral Penalization for Adversarial Domain Adaptation,2019
BERT and PALs: Projected Attention Layers for Efficient Adaptation in Multi-Task Learning,2019
Towards Accurate Model Selection in Deep Unsupervised Domain Adaptation,2019
Domain Adaptation with Asymmetrically-Relaxed Distribution Alignment,2019
Bridging Theory and Algorithm for Domain Adaptation,2019
Polynomial Cost of Adaptation for X-Armed Bandits,2019
Input-Cell Attention Reduces Vanishing Saliency of Recurrent Neural Networks,2019
Object landmark discovery through unsupervised adaptation,2019
Category Anchor-Guided Unsupervised Domain Adaptation for Semantic Segmentation,2019
Multi-source Domain Adaptation for Semantic Segmentation,2019
A coupled autoencoder approach for multi-modal analysis of cell types,2019
Scalable inference of topic evolution via models for latent geometric structures,2019
Connective Cognition Network for Directional Visual Commonsense Reasoning,2019
A Generalized Algorithm for Multi-Objective Reinforcement Learning and Policy Adaptation,2019
End-to-End Learning on 3D Protein Structure for Interface Prediction,2019
Evaluating Protein Transfer Learning with TAPE,2019
Generative Models for Graph-Based Protein Design,2019
FormulaZero: Distributionally Robust Online Adaptation via Offline Population Synthesis,2020
Maximum Likelihood with Bias-Corrected Calibration is Hard-To-Beat at Label Shift Adaptation,2020
Continuously Indexed Domain Adaptation,2020
Progressive Graph Learning for Open-Set Domain Adaptation,2020
Label-Noise Robust Domain Adaptation,2020
Understanding Self-Training for Gradual Domain Adaptation,2020
Cautious Adaptation For Reinforcement Learning in Safety-Critical Settings,2020
Margin-aware Adversarial Domain Adaptation with Optimal Transport,2020
Fast Adaptation to New Environments via Policy-Dynamics Value Functions,2020
Control Frequency Adaptation via Action Persistence in Batch Reinforcement Learning,2020
Provably Efficient Model-based Policy Adaptation,2020
History-Gradient Aided Batch Size Adaptation for Variance Reduced Algorithms,2020
Implicit Class-Conditioned Domain Alignment for Unsupervised Domain Adaptation,2020
Domain Aggregation Networks for Multi-Source Domain Adaptation,2020
