Title,Year
Understanding image motion with group representations,2018
Many Paths to Equilibrium: GANs Do Not Need to Decrease a Divergence At Every Step,2018
Auto-Conditioned Recurrent Networks for Extended Complex Human Motion Synthesis,2018
Progressive Reinforcement Learning with Distillation for Multi-Skilled Motion Control,2018
Deep Learning and Quantum Entanglement: Fundamental Connections with Implications to Network Design,2018
On the Optimization of Deep Networks: Implicit Acceleration by Overparameterization,2018
ContextNet: Deep learning for Star Galaxy Classification,2018
Scalable approximate Bayesian inference for particle tracking data,2018
On Acceleration with Noise-Corrupted Gradients,2018
Local Convergence Properties of SAGA/Prox-SVRG and Acceleration,2018
Video Prediction with Appearance and Motion Conditions,2018
DVAE#: Discrete Variational Autoencoders with Relaxed Boltzmann Priors,2018
GumBolt: Extending Gumbel trick to Boltzmann priors,2018
Designing by Training: Acceleration Neural Network for Fast High-Dimensional Convolution,2018
Towards Understanding Acceleration Tradeoff between Momentum and Asynchrony in Nonconvex Stochastic Optimization,2018
Practical exact algorithm for trembling-hand equilibrium refinements in games,2018
Acceleration through Optimistic No-Regret Dynamics,2018
GPyTorch: Blackbox Matrix-Matrix Gaussian Process Inference with GPU Acceleration,2018
Variational PDEs for Acceleration on Manifolds and Application to Diffeomorphisms,2018
Learning and Inference in Hilbert Space with Quantum Graphical Models,2018
Multivariate Convolutional Sparse Coding for Electromagnetic Brain Signals,2018
Online Learning of Quantum States,2018
Direct Runge-Kutta Discretization Achieves Acceleration,2018
Efficient Convex Completion of Coupled Tensors using Coupled Nuclear Norms,2018
"Online Adaptive Methods, Universality and Acceleration",2018
A2BCD: Asynchronous Acceleration with Optimal Complexity,2019
Initialized Equilibrium Propagation for Backprop-Free Training,2019
Function Space Particle Optimization for Bayesian Neural Networks,2019
Learning Grid Cells as Vector Representation of Self-Position Coupled with Matrix Representation of Self-Motion,2019
"Learning Particle Dynamics for Manipulating Rigid Bodies, Deformable Objects, and Fluids",2019
On Dropout and Nuclear Norm Regularization,2019
Acceleration of SVRG and Katyusha X by Inexact Preconditioning,2019
Curvature-Exploiting Acceleration of Elastic Net Computations,2019
Particle Flow Bayes' Rule,2019
Collective Model Fusion for Multiple Black-Box Experts,2019
A Dynamical Systems Perspective on Nesterov Acceleration,2019
Understanding and Accelerating Particle-Based Variational Inference,2019
"Anytime Online-to-Batch, Optimism and Acceleration",2019
Sublinear quantum algorithms for training linear and kernel-based classifiers,2019
Missing Not at Random in Matrix Completion: The Effectiveness of Estimating Missingness Probabilities Under a Low Nuclear Norm Assumption,2019
Updates of Equilibrium Prop Match Gradients of Backprop Through Time in an RNN with Static Input,2019
Deep Equilibrium Models,2019
Quantum Entropy Scoring for Fast Robust Mean Estimation and Improved Outlier Detection,2019
"Kalman Filter, Sensor Fusion, and Constrained Regression: Equivalences and Insights",2019
